,end_char,label,name,start_char,text
54,129,PERSON,Taj Mahal,120,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
55,140,GPE,New Delhi,131,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
56,160,DATE,24/26 Dec 2018,146,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
57,21,ORG,Dear Reservation Dept,0,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
58,34,ORG,  Greetings,23,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
59,52,GPE,Kuala Lumpur,40,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
60,119,ORG,  a),115,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
61,183,CARDINAL,1,182,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
62,191,ORG,  ,189,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
63,219,DATE,09 DECEMBER 2018,203,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
64,237,DATE,– 11,233,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
65,251,DATE,DECEMBER 2018,238,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 09 DECEMBER 2018    Check out – 11 DECEMBER 2018      Hope to hear from you soon.  "
66,2,ORG,  ,0,  Hi  Please cancel my booking .  
67,13,ORG,  ,11,"Dear Team,   Please cancel the attached booking without any charges as per the Star policy  "
68,83,ORG,Star,79,"Dear Team,   Please cancel the attached booking without any charges as per the Star policy  "
69,36,FAC,Lake Palace,25,i want to book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
70,75,DATE,December 2018,62,i want to book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
71,104,DATE,January 2019,92,i want to book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
72,55,LOC,the Taj Mahal,42,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
73,65,GPE,Mumbai,59,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
74,93,TIME,the night of November 30,69,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
75,124,GPE,Mumbai,118,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
76,128,CARDINAL,2.0,125,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
77,165,DATE,December 1,155,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
78,266,LOC,Inner Circle,254,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
79,285,DATE,101010203753,273,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
80,2,ORG,  ,0,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
81,8,ORG,  ,6,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
82,57,ORG,ABB,54,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
83,77,GPE,Bangalore,68,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
84,159,DATE,Monday 26 November to Thursday 29 November,117,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
85,166,CARDINAL,1,165,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
86,210,ORG,Airport Limousine,193,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
87,242,FAC,Bengaluru Airport,225,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
88,246,ORG,  ,244,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
89,274,MONEY,61 428 856,264,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
90,305,ORG,  ,303,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
91,23,ORG,Dear Reservation Center,0,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
92,33,DATE,Good Day,25,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
93,37,ORG,  ,35,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
94,114,GPE,Dubai,109,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
95,120,CARDINAL,1,119,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
96,161,DATE,28 November – 01 December 2018,131,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
97,168,QUANTITY,3,167,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
98,14,ORG,  Hi - Looking,0,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
99,50,CARDINAL,4,49,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
100,65,DATE,"12th Jan,",56,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
101,70,DATE,2019,66,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
102,78,ORDINAL,15th,74,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
103,88,DATE,2019,84,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
104,91,CARDINAL,2,90,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
105,104,CARDINAL,2,103,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
106,113,QUANTITY,16,111,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
107,119,DATE,9,118,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
108,124,ORG,  ,122,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
109,2,ORG,  ,0,"  Hi Agnes,   I have not received a response to this email as yet. Please could you let me know that the rooms have been confirmed? "
110,10,PERSON,Agnes,5,"  Hi Agnes,   I have not received a response to this email as yet. Please could you let me know that the rooms have been confirmed? "
111,14,PERSON,  ,12,"  Hi Agnes,   I have not received a response to this email as yet. Please could you let me know that the rooms have been confirmed? "
112,6,ORG,  Dear,0,"  Dear  Charunya,    Thank you for your email. I am not sure the ones you sent would fit a family of 4.    When you say Queen bed or Kind bed is it one bed in the room or two?  "
113,16,PERSON,Charunya,8,"  Dear  Charunya,    Thank you for your email. I am not sure the ones you sent would fit a family of 4.    When you say Queen bed or Kind bed is it one bed in the room or two?  "
114,102,CARDINAL,4,101,"  Dear  Charunya,    Thank you for your email. I am not sure the ones you sent would fit a family of 4.    When you say Queen bed or Kind bed is it one bed in the room or two?  "
115,174,CARDINAL,two,171,"  Dear  Charunya,    Thank you for your email. I am not sure the ones you sent would fit a family of 4.    When you say Queen bed or Kind bed is it one bed in the room or two?  "
116,15,ORG,  ,13,"Dear Shaoib,   We would like to proceed with the reservations of 3 superior rooms with King bed.    Just a couple of more questions:    - Could we fit an extra bed (with additional cost) in the room? - Could the hotel arrange airport transfer at 2.30am?  - As we will leave at 2.30am we will not have breakfast, do you have a rate that does not include breakfast?  "
117,66,CARDINAL,3,65,"Dear Shaoib,   We would like to proceed with the reservations of 3 superior rooms with King bed.    Just a couple of more questions:    - Could we fit an extra bed (with additional cost) in the room? - Could the hotel arrange airport transfer at 2.30am?  - As we will leave at 2.30am we will not have breakfast, do you have a rate that does not include breakfast?  "
118,252,LOC,2.30am,246,"Dear Shaoib,   We would like to proceed with the reservations of 3 superior rooms with King bed.    Just a couple of more questions:    - Could we fit an extra bed (with additional cost) in the room? - Could the hotel arrange airport transfer at 2.30am?  - As we will leave at 2.30am we will not have breakfast, do you have a rate that does not include breakfast?  "
119,283,GPE,2.30am,277,"Dear Shaoib,   We would like to proceed with the reservations of 3 superior rooms with King bed.    Just a couple of more questions:    - Could we fit an extra bed (with additional cost) in the room? - Could the hotel arrange airport transfer at 2.30am?  - As we will leave at 2.30am we will not have breakfast, do you have a rate that does not include breakfast?  "
120,2,ORG,  ,0,  Hi   the Taj Hotel I am referring to is in Dubai.  
121,50,GPE,Dubai,45,  Hi   the Taj Hotel I am referring to is in Dubai.  
122,2,ORG,  ,0,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
123,13,PERSON,Gaurav,7,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
124,17,PERSON,  ,15,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
125,58,DATE,2 nights,50,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
126,72,PERSON,Taj Agauda,62,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
127,97,DATE,17th April 2019,82,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
128,116,DATE,April 2019,106,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
129,2,ORG,  ,0,"  Dear Mahesh,   Many thanks for your e-mail.   The Hotel is The Taj Cape Town. "
130,13,PERSON,Mahesh,7,"  Dear Mahesh,   Many thanks for your e-mail.   The Hotel is The Taj Cape Town. "
131,17,PERSON,  ,15,"  Dear Mahesh,   Many thanks for your e-mail.   The Hotel is The Taj Cape Town. "
132,57,FAC,Hotel,52,"  Dear Mahesh,   Many thanks for your e-mail.   The Hotel is The Taj Cape Town. "
133,78,FAC,The Taj Cape Town,61,"  Dear Mahesh,   Many thanks for your e-mail.   The Hotel is The Taj Cape Town. "
134,2,ORG,  ,0,"  Sir,   I am unable to making payment on link provided by you for the payment of Invoice no. 12646587. You requested to kindly suggest any other mode of payment or update the below link.  "
135,10,ORG,  I,7,"  Sir,   I am unable to making payment on link provided by you for the payment of Invoice no. 12646587. You requested to kindly suggest any other mode of payment or update the below link.  "
136,2,ORG,  ,0,"  Hi,   The payment link has expired. Please see below. Could you please send me new credit card authorization Letter along with the payment link for reservation under Shevawn Barder. Booking Confirmation No: CRS-75764SB021202 "
137,8,ORG,  ,6,"  Hi,   The payment link has expired. Please see below. Could you please send me new credit card authorization Letter along with the payment link for reservation under Shevawn Barder. Booking Confirmation No: CRS-75764SB021202 "
138,182,PERSON,Shevawn Barder,168,"  Hi,   The payment link has expired. Please see below. Could you please send me new credit card authorization Letter along with the payment link for reservation under Shevawn Barder. Booking Confirmation No: CRS-75764SB021202 "
139,226,PERSON,CRS-75764SB021202,209,"  Hi,   The payment link has expired. Please see below. Could you please send me new credit card authorization Letter along with the payment link for reservation under Shevawn Barder. Booking Confirmation No: CRS-75764SB021202 "
140,2,ORG,  ,0,"  Sir , Kindly send me the bank details of HOTEL TAJ BANJARA to transfer the payment to your account online. Also name is Miss.C.ASHIKA .It is noted as Miss.C.Aashika. "
141,2,ORG,  ,0,  Hi   Isnt the payment due when we check in?   
142,7,ORG,  ,5,  Hi   Isnt the payment due when we check in?   
